Chromosome	m1A peak middle position	RefSeq ID	Segment	Cell
chr1	6845509	NR_038934	ncRNA	HEPG2_common_mRNA
chr1	6845509	NR_038934	ncRNA	HEPG2_Glucose_starv_4h
chr1	6845509	NR_038934	ncRNA	HEPG2_heat_shock_4h
chr1	6845570	NM_001195563	5UTR	HeLa
chr1	6845578	NR_038934	ncRNA	HEK293
chr1	7831404	NM_004781	5UTR	HeLa
chr1	7831404	NM_004781	5UTR	HEPG2_common_mRNA
chr1	7831406	NM_004781	5UTR	HEPG2_Glucose_starv_4h
chr1	7831407	NM_004781	5UTR	HEPG2_heat_shock_4h
chr1	8021801	NM_007262	5UTR	HEPG2_common_mRNA
chr1	8021815	NM_007262	5UTR	HEPG2_common_total_RNA
chr1	8022903	NM_001123377	CDS	HeLa
chr1	8045068	NM_001123377	CDS	HeLa
chr1	8086287	NM_018948	5UTR	HEPG2_Glucose_starv_4h
chr1	8086289	NM_018948	5UTR	HEPG2_common_mRNA
chr1	8086291	NM_018948	5UTR	HeLa
chr1	8086301	NM_018948	5UTR	HEPG2_heat_shock_4h
chr1	8415611	NM_001042681	CDS	HeLa
chr1	8415645	NM_001042681	CDS	HEK293
chr1	8416236	NM_001042681	CDS	HEK293
chr1	8416242	NM_001042681	CDS	HEPG2_common_mRNA
chr1	8416248	NM_001042681	CDS	HeLa
chr1	8416252	NM_001042681	CDS	HEPG2_common_total_RNA
chr1	8418509	NM_001042681	CDS	HEPG2_common_total_RNA
chr1	8418561	NM_001042681	CDS	HeLa
chr1	8418628	NM_001042681	CDS	HEPG2_Glucose_starv_4h
chr1	8418704	NM_001042682	CDS	HEPG2_heat_shock_4h
chr1	8418721	NM_001042681	CDS	HEPG2_common_mRNA
chr1	8420685	NM_001042681	CDS	HeLa
chr1	8420724	NM_001042681	CDS	HEPG2_common_mRNA
chr1	8421185	NM_001042681	CDS	HEK293
chr1	8421192	NM_001042681	CDS	HeLa
chr1	8716268	NM_001042681	CDS	HEPG2_common_mRNA
chr1	8716278	NM_001042681	CDS	HeLa
chr1	8877590	NM_001042681	5UTR	HEPG2_common_total_RNA
chr1	8877598	NM_001042681	5UTR	HEPG2_common_mRNA
chr1	8921286	NM_001428	3UTR	HeLa
chr1	8921359	NM_001428	3UTR	HEK293
chr1	8923349	NM_001428	CDS	HeLa
chr1	8928112	NM_001428	CDS	HeLa
chr1	8938647	NM_001428	5UTR	HeLa
chr1	8938657	NM_001428	5UTR	HEPG2_common_total_RNA
chr1	8938674	NM_001428	5UTR	HEK293
chr1	9294986	NM_004285	5UTR	HeLa
chr1	9294992	NM_004285	5UTR	HEPG2_common_mRNA
chr1	9295002	NM_004285	5UTR	HEPG2_Glucose_starv_4h
chr1	9353047	NM_025106	5UTR	HeLa
chr1	9353047	NM_025106	5UTR	HEPG2_heat_shock_4h
chr1	9353049	NM_025106	5UTR	HEPG2_Glucose_starv_4h
chr1	9415850	NM_025106	5UTR	HEPG2_common_mRNA
chr1	9415891	NM_025106	5UTR	HeLa
chr1	9777640	NM_005026	CDS	HeLa
chr1	9778818	NM_005026	CDS	HEPG2_heat_shock_4h
chr1	9790509	NM_014944	3UTR	HeLa
chr1	9790610	NM_014944	CDS	HEPG2_common_mRNA
chr1	9794127	NM_014944	CDS	HeLa
chr1	9794132	NM_014944	CDS	HEPG2_common_mRNA
chr1	9794135	NM_014944	CDS	HEPG2_common_total_RNA
chr1	9794143	NM_001009566	CDS	HEK293
chr1	9883805	NM_014944	5UTR	HeLa
chr1	9883830	NM_014944	5UTR	HEPG2_common_total_RNA
chr1	9883904	NM_014944	5UTR	HEPG2_common_mRNA
chr1	9883912	NM_001009566	5UTR	HEK293
chr1	10093310	NM_006048	5UTR	HEPG2_common_mRNA
chr1	10093342	NM_006048	5UTR	HeLa
chr1	10459158	NM_002631	5UTR	HEPG2_common_total_RNA
chr1	10459207	NM_001304452	5UTR	HEPG2_common_mRNA
chr1	10459703	NM_002631	CDS	HeLa
chr1	10478935	NM_002631	CDS	HEPG2_common_mRNA
chr1	10490571	NM_199294	5UTR	HEPG2_common_mRNA
chr1	10535030	NM_004565	CDS	HEPG2_common_mRNA
chr1	10535030	NM_004565	CDS	HEPG2_Glucose_starv_4h
chr1	10535030	NM_004565	CDS	HEPG2_heat_shock_4h
chr1	10535044	NM_004565	CDS	HeLa
chr1	10555365	NM_004565	CDS	HEPG2_heat_shock_4h
chr1	10596311	NM_004565	CDS	HEPG2_common_mRNA
chr1	10689865	NM_004565	CDS	HEPG2_common_mRNA
chr1	10689872	NM_004565	CDS	HEPG2_heat_shock_4h
chr1	10689887	NM_004565	CDS	HeLa
chr1	10689917	NM_004565	CDS	HEPG2_Glucose_starv_4h
chr1	10689971	NM_004565	CDS	HEK293
chr1	11072766	NM_007375	5UTR	HEPG2_common_mRNA
chr1	11072767	NM_007375	5UTR	HEPG2_heat_shock_4h
chr1	11073800	NM_007375	CDS	HeLa
chr1	11082635	NM_007375	CDS	HEPG2_common_total_RNA
chr1	11082648	NM_007375	CDS	HeLa
chr1	11114782	NM_003132	3UTR	HEK293
chr1	11114816	NM_003132	3UTR	HeLa
chr1	11114851	NM_003132	3UTR	HEPG2_common_total_RNA
chr1	11119939	NM_003132	CDS	HEPG2_common_total_RNA
chr1	11119952	NM_003132	CDS	HeLa
chr1	11119952	NM_003132	CDS	HEPG2_common_mRNA
chr1	11319402	NM_004958	CDS	HEPG2_common_mRNA
chr1	11319419	NM_004958	CDS	HeLa
chr1	11322531	NM_004958	5UTR	HEPG2_heat_shock_4h
chr1	11710029	NM_012168	CDS	HEPG2_common_mRNA
chr1	11710083	NM_012168	CDS	HeLa
chr1	11710776	NM_012168	CDS	HEPG2_heat_shock_4h
chr1	11710791	NM_012168	CDS	HEPG2_Glucose_starv_4h
chr1	11714377	NM_012168	CDS	HEPG2_common_mRNA
chr1	11714384	NM_012168	CDS	HeLa
chr1	11714657	NM_012168	5UTR	HEPG2_Glucose_starv_4h
chr1	11741128	NM_006341	5UTR	HeLa
chr1	11741142	NM_006341	5UTR	HEPG2_common_mRNA
chr1	11741148	NM_006341	5UTR	HEPG2_heat_shock_4h
chr1	11796241	NM_020350	5UTR	HEPG2_heat_shock_4h
chr1	11796247	NM_020350	5UTR	HEPG2_common_mRNA
chr1	11796251	NM_020350	5UTR	HeLa
chr1	11865948	NM_005957	5UTR	HEPG2_heat_shock_4h
chr1	11866279	NR_046428	ncRNA	HEPG2_common_mRNA
chr1	11866279	NR_046428	ncRNA	HEPG2_Glucose_starv_4h
chr1	11866279	NR_046428	ncRNA	HEPG2_heat_shock_4h
chr1	11866369	NR_046428	ncRNA	HEPG2_common_total_RNA
chr1	11866375	NM_001286	CDS	HeLa
chr1	11867217	NM_001286	CDS	HEPG2_common_mRNA
chr1	11875905	NM_001286	CDS	HEPG2_Glucose_starv_4h
chr1	11875935	NM_001286	CDS	HEPG2_heat_shock_4h
chr1	11985453	NM_138346	CDS	HeLa
chr1	11985804	NM_138346	CDS	HeLa
chr1	11985808	NM_138346	CDS	HEPG2_common_total_RNA
chr1	11985889	NM_138346	CDS	HEPG2_common_mRNA
chr1	11985914	NM_138346	CDS	HEPG2_heat_shock_4h
chr1	11986185	NM_138346	CDS	HEPG2_Glucose_starv_4h
chr1	11986219	NM_138346	CDS	HeLa
chr1	11986342	NM_138346	5UTR	HEPG2_common_total_RNA
chr1	11986368	NM_138346	5UTR	HEK293
chr1	11994855	NM_000302	CDS	HEPG2_common_mRNA
chr1	12009897	NM_000302	CDS	HeLa
chr1	12009902	NM_000302	CDS	HEPG2_common_mRNA
chr1	12034884	NM_000302	3UTR	HEPG2_common_total_RNA
chr1	12040362	NM_014874	5UTR	HeLa
chr1	12040397	NM_014874	5UTR	HEPG2_common_mRNA
chr1	12040454	NM_014874	5UTR	HEPG2_heat_shock_4h
chr1	12042105	NM_014874	5UTR	HEPG2_common_mRNA
chr1	12072254	NM_014874	3UTR	HeLa
chr1	12072269	NM_014874	3UTR	HEPG2_common_mRNA
chr1	12079579	NM_021933	5UTR	HeLa
chr1	12079579	NM_021933	5UTR	HEPG2_heat_shock_4h
chr1	12079583	NM_021933	5UTR	HEPG2_Glucose_starv_4h
chr1	12081765	NM_021933	5UTR	HEPG2_common_mRNA
chr1	12091850	NM_021933	CDS	HeLa
chr1	14075938	NM_001007257	5UTR	HEPG2_Glucose_starv_4h
chr1	14075940	NM_001007257	5UTR	HEPG2_common_mRNA
chr1	14075942	NM_001007257	5UTR	HeLa
chr1	14099627	NM_012231	CDS	HEPG2_common_mRNA
chr1	14105009	NM_001007257	CDS	HEPG2_Glucose_starv_4h
chr1	14107327	NM_001007257	CDS	HEPG2_Glucose_starv_4h
chr1	14107337	NM_001007257	CDS	HEPG2_common_mRNA
chr1	15250728	NM_001018000	5UTR	HeLa
chr1	15736537	NM_024329	CDS	HeLa
chr1	15736591	NM_024329	CDS	HEPG2_common_mRNA
chr1	15755472	NM_024329	3UTR	HEK293
chr1	15755503	NM_024329	3UTR	HEPG2_common_total_RNA
chr1	15755518	NM_024329	3UTR	HeLa
chr1	15850752	NR_102733	ncRNA	HEPG2_common_total_RNA
chr1	15850757	NM_001229	5UTR	HeLa
chr1	15850795	NM_001229	5UTR	HEPG2_Glucose_starv_4h
chr1	15851154	NM_032996	5UTR	HEPG2_heat_shock_4h
chr1	15851156	NM_032996	5UTR	HEPG2_common_mRNA
chr1	15944092	NM_032341	5UTR	HEK293
chr1	15944093	NM_032341	5UTR	HeLa
chr1	15944120	NM_032341	5UTR	HEPG2_heat_shock_4h
chr1	15944139	NM_032341	5UTR	HEPG2_common_mRNA
chr1	15944142	NM_032341	5UTR	HEPG2_common_total_RNA
chr1	15944151	NM_032341	5UTR	HEPG2_Glucose_starv_4h
chr1	16010981	NM_015164	5UTR	HeLa
chr1	16010989	NM_015164	5UTR	HEPG2_heat_shock_4h
chr1	16011019	NM_015164	5UTR	HEK293
chr1	16011040	NM_015164	5UTR	HEPG2_common_mRNA
chr1	16051977	NM_015164	CDS	HeLa
chr1	16085307	NM_017556	5UTR	HEPG2_Glucose_starv_4h
chr1	16134043	NM_001089591	CDS	HeLa
chr1	16134084	NM_001089591	CDS	HEPG2_common_total_RNA
chr1	16161471	NR_024279	ncRNA	HEPG2_heat_shock_4h
chr1	16161515	NR_024279	ncRNA	HEPG2_Glucose_starv_4h
