chr	position	gene	segment	strain and medium
I	658332	SPAC1D4.11c	CDS	WT_Sp1_vegetative
I	658346	SPAC1D4.11c	CDS	WT_Sp1_EMM-N_medium_4h
I	719962	SPAC1296.06	CDS	WT_Sp1_EMM-N_medium_4h
I	726207	SPAC22G7.01c	CDS	WT_Sp1_vegetative
I	752655	SPAC22G7.09c	CDS	WT_Sp1_EMM-N_medium_4h
I	752677	SPAC22G7.09c	CDS	WT_Sp1_vegetative
I	754642	SPAC22G7.10	CDS	WT_Sp1_EMM-N_medium_4h
I	754654	SPAC22G7.10	CDS	WT_Sp1_vegetative
I	768281	SPAC4G8.04	CDS	WT_Sp1_vegetative
I	768283	SPAC4G8.04	CDS	WT_Sp1_EMM-N_medium_4h
I	787265	SPAC4G8.13c	CDS	WT_Sp1_vegetative
I	787278	SPAC4G8.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	787992	SPAC4G8.13c	CDS	WT_Sp1_vegetative
I	788007	SPAC4G8.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	800669	SPAC16C9.05	CDS	WT_Sp1_vegetative
I	802824	SPAC16C9.06c	CDS	WT_Sp1_vegetative
I	802827	SPAC16C9.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	805076	SPAC16C9.07	CDS	WT_Sp1_vegetative
I	805492	SPAC16C9.07	CDS	WT_Sp1_EMM-N_medium_4h
I	805505	SPAC16C9.07	CDS	WT_Sp1_vegetative
I	819215	SPAC2G11.06	CDS	WT_Sp1_EMM-N_medium_4h
I	860465	SPAC23G3.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	871534	SPAC23G3.03	CDS	WT_Sp1_EMM-N_medium_4h
I	871587	SPAC23G3.03	CDS	WT_Sp1_vegetative
I	910537	SPAC1687.05	CDS	WT_Sp1_EMM-N_medium_4h
I	910544	SPAC1687.05	CDS	WT_Sp1_vegetative
I	915185	SPAC1687.09	CDS	WT_Sp1_EMM-N_medium_4h
I	915188	SPAC1687.09	CDS	WT_Sp1_vegetative
I	916063	SPAC1687.09	CDS	WT_Sp1_vegetative
I	916082	SPAC1687.09	CDS	WT_Sp1_EMM-N_medium_4h
I	928466	SPAC1687.14c	5UTR	WT_Sp1_vegetative
I	931403	SPAC1687.15	CDS	WT_Sp1_EMM-N_medium_4h
I	931405	SPAC1687.15	CDS	WT_Sp1_vegetative
I	933387	SPAC1687.16c	CDS	WT_Sp1_EMM-N_medium_4h
I	933394	SPAC1687.16c	CDS	WT_Sp1_vegetative
I	945731	SPAC1687.22c	CDS	WT_Sp1_vegetative
I	945734	SPAC1687.22c	CDS	WT_Sp1_EMM-N_medium_4h
I	950568	SPAC222.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	950570	SPAC222.04c	CDS	WT_Sp1_vegetative
I	961115	SPAC222.09	CDS	WT_Sp1_vegetative
I	961120	SPAC222.09	CDS	WT_Sp1_EMM-N_medium_4h
I	982439	SPAC821.03c	CDS	WT_Sp1_vegetative
I	982459	SPAC821.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	985376	SPAC821.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	986309	SPAC821.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	996803	SPAC821.08c	CDS	WT_Sp1_EMM-N_medium_4h
I	996804	SPAC821.08c	CDS	WT_Sp1_vegetative
I	1038066	SPAC23C4.05c	INT	WT_Sp1_vegetative
I	1038067	SPAC23C4.05c	INT	WT_Sp1_EMM-N_medium_4h
I	1045736	SPAC23C4.10	CDS	WT_Sp1_EMM-N_medium_4h
I	1045837	SPAC23C4.10	CDS	WT_Sp1_vegetative
I	1059229	SPAC23C4.18c	3UTR	WT_Sp1_EMM-N_medium_4h
I	1059229	SPAC23C4.18c	3UTR	WT_Sp1_vegetative
I	1064953	SPAC23C4.19	CDS	WT_Sp1_vegetative
I	1085411	SPAC1A6.07	CDS	WT_Sp1_EMM-N_medium_4h
I	1085420	SPAC1A6.07	CDS	WT_Sp1_vegetative
I	1088889	SPAC1A6.09c	CDS	WT_Sp1_vegetative
I	1088891	SPAC1A6.09c	CDS	WT_Sp1_EMM-N_medium_4h
I	1100558	SPNCRNA.711	5UTR	WT_Sp1_vegetative
I	1100559	SPNCRNA.711	5UTR	WT_Sp1_EMM-N_medium_4h
I	1105460	SPAC30D11.08c	CDS	WT_Sp1_EMM-N_medium_4h
I	1105473	SPAC30D11.08c	CDS	WT_Sp1_vegetative
I	1113138	SPAC30D11.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	1113153	SPAC30D11.04c	CDS	WT_Sp1_vegetative
I	1114188	SPAC30D11.04c	CDS	WT_Sp1_vegetative
I	1114206	SPAC30D11.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	1116964	SPAC30D11.03	CDS	WT_Sp1_vegetative
I	1152635	SPAC56F8.15	3UTR	WT_Sp1_EMM-N_medium_4h
I	1152643	SPAC56F8.15	3UTR	WT_Sp1_vegetative
I	1153630	SPAC56F8.16	5UTR	WT_Sp1_EMM-N_medium_4h
I	1153692	SPAC56F8.16	5UTR	WT_Sp1_vegetative
I	1155045	SPAC56F8.16	CDS	WT_Sp1_EMM-N_medium_4h
I	1155046	SPAC56F8.16	CDS	WT_Sp1_vegetative
I	1192948	SPAC4C5.01	CDS	WT_Sp1_EMM-N_medium_4h
I	1227878	SPAC10F6.11c	CDS	WT_Sp1_vegetative
I	1227883	SPAC10F6.11c	CDS	WT_Sp1_EMM-N_medium_4h
I	1244046	SPAC56E4.03	5UTR	WT_Sp1_vegetative
I	1257078	SPAC56E4.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	1264155	SPNCRNA.730	5UTR	WT_Sp1_EMM-N_medium_4h
I	1287103	SPAPB17E12.14c	CDS	WT_Sp1_EMM-N_medium_4h
I	1288680	SPAPB17E12.14c	CDS	WT_Sp1_EMM-N_medium_4h
I	1288680	SPAPB17E12.14c	CDS	WT_Sp1_vegetative
I	1293329	SPAC1565.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	1337695	SPAC6F12.12	CDS	WT_Sp1_EMM-N_medium_4h
I	1348877	SPAC6F12.17	CDS	WT_Sp1_EMM-N_medium_4h
I	1348877	SPAC6F12.17	CDS	WT_Sp1_vegetative
I	1349851	SPAC6F12.17	CDS	WT_Sp1_EMM-N_medium_4h
I	1349857	SPAC6F12.17	CDS	WT_Sp1_vegetative
I	1362653	SPAC19E9.03	CDS	WT_Sp1_EMM-N_medium_4h
I	1363367	SPAC19E9.03	CDS	WT_Sp1_vegetative
I	1365906	SPAC57A10.02	CDS	WT_Sp1_vegetative
I	1366017	SPAC57A10.02	CDS	WT_Sp1_EMM-N_medium_4h
I	1373130	SPAC57A10.05c	CDS	WT_Sp1_EMM-N_medium_4h
I	1381401	SPAC57A10.09c	INT	WT_Sp1_EMM-N_medium_4h
I	1381401	SPAC57A10.09c	INT	WT_Sp1_vegetative
I	1401569	SPAC20G8.05c	CDS	WT_Sp1_vegetative
I	1401574	SPAC20G8.05c	CDS	WT_Sp1_EMM-N_medium_4h
I	1403369	SPAC20G8.06	CDS	WT_Sp1_vegetative
I	1403370	SPAC20G8.06	CDS	WT_Sp1_EMM-N_medium_4h
I	1409131	SPAC20G8.06	CDS	WT_Sp1_vegetative
I	1409139	SPAC20G8.06	CDS	WT_Sp1_EMM-N_medium_4h
I	1431665	SPAC3A12.06c	CDS	WT_Sp1_vegetative
I	1431667	SPAC3A12.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	1447994	SPAC3A12.15	CDS	WT_Sp1_vegetative
I	1448000	SPAC3A12.15	CDS	WT_Sp1_EMM-N_medium_4h
I	1457300	SPAC9.02c	CDS	WT_Sp1_vegetative
I	1461280	SPAC9.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	1461288	SPAC9.03c	CDS	WT_Sp1_vegetative
I	1473328	SPAC9.05	CDS	WT_Sp1_EMM-N_medium_4h
I	1493452	SPAC5D6.12	CDS	WT_Sp1_EMM-N_medium_4h
I	1493464	SPAC5D6.12	CDS	WT_Sp1_vegetative
I	1521132	SPAC57A7.11	CDS	WT_Sp1_EMM-N_medium_4h
I	1522177	SPAC57A7.10c	CDS	WT_Sp1_EMM-N_medium_4h
I	1536782	SPAC57A7.05	CDS	WT_Sp1_vegetative
I	1536790	SPAC57A7.05	CDS	WT_Sp1_EMM-N_medium_4h
I	1538347	SPAC57A7.05	CDS	WT_Sp1_EMM-N_medium_4h
I	1538387	SPAC57A7.05	CDS	WT_Sp1_vegetative
I	1581899	SPAC23H4.15	CDS	WT_Sp1_vegetative
I	1605982	SPAC23H4.02	CDS	WT_Sp1_vegetative
I	1606000	SPAC23H4.02	CDS	WT_Sp1_EMM-N_medium_4h
I	1608334	SPNCRNA.747	3UTR	WT_Sp1_EMM-N_medium_4h
I	1628430	SPAP27G11.10c	CDS	WT_Sp1_EMM-N_medium_4h
I	1633172	SPAP27G11.12	CDS	WT_Sp1_vegetative
I	1633176	SPAP27G11.12	CDS	WT_Sp1_EMM-N_medium_4h
I	1634635	SPAP27G11.12	CDS	WT_Sp1_EMM-N_medium_4h
I	1634648	SPAP27G11.12	CDS	WT_Sp1_vegetative
I	1642201	SPAC343.02	CDS	WT_Sp1_vegetative
I	1642206	SPAC343.02	CDS	WT_Sp1_EMM-N_medium_4h
I	1654858	SPAC343.09	CDS	WT_Sp1_EMM-N_medium_4h
I	1662775	SPAC343.11c	CDS	WT_Sp1_vegetative
I	1662777	SPAC343.11c	CDS	WT_Sp1_EMM-N_medium_4h
I	1687118	SPAC824.02	CDS	WT_Sp1_EMM-N_medium_4h
I	1699261	SPAC824.08	CDS	WT_Sp1_vegetative
I	1699262	SPAC824.08	CDS	WT_Sp1_EMM-N_medium_4h
I	1700617	SPAC824.09c	CDS	WT_Sp1_vegetative
I	1700644	SPAC824.09c	CDS	WT_Sp1_EMM-N_medium_4h
I	1703399	SPAC664.01c	CDS	WT_Sp1_vegetative
I	1720844	SPAC664.09	CDS	WT_Sp1_EMM-N_medium_4h
I	1720860	SPAC664.09	CDS	WT_Sp1_vegetative
I	1744549	SPAC105.02c	3UTR	WT_Sp1_vegetative
I	1748140	SPAC105.03c	CDS	WT_Sp1_vegetative
I	1748167	SPAC105.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	1765714	SPAC17A5.07c	CDS	WT_Sp1_vegetative
I	1775224	SPNCRNA.761	3UTR	WT_Sp1_EMM-N_medium_4h
I	1775896	SPNCRNA.761	3UTR	WT_Sp1_EMM-N_medium_4h
I	1775910	SPNCRNA.761	3UTR	WT_Sp1_vegetative
I	1782366	SPAC17A5.14	CDS	WT_Sp1_vegetative
I	1789022	SPAC17A5.16	CDS	WT_Sp1_vegetative
I	1789036	SPAC17A5.16	CDS	WT_Sp1_EMM-N_medium_4h
I	1799778	SPAC1002.02	CDS	WT_Sp1_EMM-N_medium_4h
I	1799780	SPAC1002.02	CDS	WT_Sp1_vegetative
I	1800540	SPAC1002.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	1801965	SPAC1002.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	1801968	SPAC1002.03c	CDS	WT_Sp1_vegetative
I	1842652	SPAC1399.03	CDS	WT_Sp1_vegetative
I	1849470	SPAC1399.06	3UTR	WT_Sp1_vegetative
I	1855946	SPAP11E10.01	CDS	WT_Sp1_vegetative
I	1857235	SPAP11E10.02c	CDS	WT_Sp1_vegetative
I	1857240	SPAP11E10.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	1858907	SPAP11E10.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	1870035	SPAPB1A10.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	1870044	SPAPB1A10.06c	CDS	WT_Sp1_vegetative
I	1880239	SPAPB1A10.09	CDS	WT_Sp1_EMM-N_medium_4h
I	1880243	SPAPB1A10.09	CDS	WT_Sp1_vegetative
I	1885185	SPAPB1A10.12c	CDS	WT_Sp1_EMM-N_medium_4h
I	1885197	SPAPB1A10.12c	CDS	WT_Sp1_vegetative
I	1888032	SPNCRNA.769	3UTR	WT_Sp1_EMM-N_medium_4h
I	1888053	SPNCRNA.769	3UTR	WT_Sp1_vegetative
I	1888784	SPNCRNA.769	3UTR	WT_Sp1_vegetative
I	1888806	SPAPB1A10.13	CDS	WT_Sp1_EMM-N_medium_4h
I	1902693	SPNCRNA.557	3UTR	WT_Sp1_EMM-N_medium_4h
I	1908647	SPAC110.01	CDS	WT_Sp1_vegetative
I	1908649	SPAC110.01	CDS	WT_Sp1_EMM-N_medium_4h
I	1909300	SPAC110.01	CDS	WT_Sp1_vegetative
I	1909301	SPAC110.01	CDS	WT_Sp1_EMM-N_medium_4h
I	1910834	SPAC110.01	CDS	WT_Sp1_vegetative
I	1924398	SPAP14E8.02	CDS	WT_Sp1_vegetative
I	1932995	SPAC3H1.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	1933005	SPAC3H1.02c	CDS	WT_Sp1_vegetative
I	1948742	SPAC3H1.09c	CDS	WT_Sp1_EMM-N_medium_4h
I	1948790	SPAC3H1.09c	CDS	WT_Sp1_vegetative
I	1957732	SPAC3H1.11	5UTR	WT_Sp1_vegetative
I	1957846	SPAC3H1.11	5UTR	WT_Sp1_EMM-N_medium_4h
I	1959893	SPAC3H1.11	CDS	WT_Sp1_EMM-N_medium_4h
I	1959905	SPAC3H1.11	CDS	WT_Sp1_vegetative
I	1966196	SPAC3H1.13	CDS	WT_Sp1_EMM-N_medium_4h
I	1969434	SPAC9G1.02	CDS	WT_Sp1_EMM-N_medium_4h
I	1969439	SPAC9G1.02	CDS	WT_Sp1_vegetative
I	1973001	SPAC9G1.02	CDS	WT_Sp1_vegetative
I	1973027	SPAC9G1.02	CDS	WT_Sp1_EMM-N_medium_4h
I	1977430	SPAC9G1.05	CDS	WT_Sp1_EMM-N_medium_4h
I	1977430	SPAC9G1.05	CDS	WT_Sp1_vegetative
I	1981447	SPAC9G1.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	1981513	SPAC9G1.06c	CDS	WT_Sp1_vegetative
I	1989935	SPAC9G1.09	3UTR	WT_Sp1_EMM-N_medium_4h
I	1989941	SPAC9G1.09	3UTR	WT_Sp1_vegetative
I	1995558	SPAC9G1.12	3UTR	WT_Sp1_EMM-N_medium_4h
I	1995559	SPAC9G1.12	3UTR	WT_Sp1_vegetative
I	2006884	SPAC17H9.02	CDS	WT_Sp1_EMM-N_medium_4h
I	2006916	SPAC17H9.02	CDS	WT_Sp1_vegetative
I	2021565	SPAC17H9.10c	CDS	WT_Sp1_EMM-N_medium_4h
I	2035435	SPAC17H9.19c	CDS	WT_Sp1_EMM-N_medium_4h
I	2065541	SPAC3C7.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	2074614	SPAC3C7.06c	CDS	WT_Sp1_vegetative
I	2074627	SPAC3C7.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	2108465	SPAC631.02	CDS	WT_Sp1_vegetative
I	2108493	SPAC631.02	CDS	WT_Sp1_EMM-N_medium_4h
I	2115503	SPAC20H4.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	2115512	SPAC20H4.03c	CDS	WT_Sp1_vegetative
I	2115892	SPAC20H4.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	2153796	SPAC23C11.11	3UTR	WT_Sp1_EMM-N_medium_4h
I	2153799	SPAC23C11.11	3UTR	WT_Sp1_vegetative
I	2156399	SPAC23C11.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	2156408	SPAC23C11.13c	CDS	WT_Sp1_vegetative
I	2159209	SPAC23C11.14	CDS	WT_Sp1_EMM-N_medium_4h
I	2159213	SPAC23C11.14	CDS	WT_Sp1_vegetative
I	2160670	SPAC23C11.15	CDS	WT_Sp1_EMM-N_medium_4h
I	2160673	SPAC23C11.15	CDS	WT_Sp1_vegetative
I	2173695	SPAC13F5.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	2177886	SPNCRNA.801	5UTR	WT_Sp1_vegetative
I	2178048	SPNCRNA.801	5UTR	WT_Sp1_EMM-N_medium_4h
I	2188999	SPAC1783.01	CDS	WT_Sp1_EMM-N_medium_4h
I	2192728	SPAC1783.03	3UTR	WT_Sp1_EMM-N_medium_4h
I	2192782	SPAC1783.03	3UTR	WT_Sp1_vegetative
I	2201652	SPAC1783.07c	CDS	WT_Sp1_EMM-N_medium_4h
I	2201735	SPAC1783.07c	CDS	WT_Sp1_vegetative
I	2206852	SPAC1327.01c	CDS	WT_Sp1_EMM-N_medium_4h
I	2207509	SPAC1327.01c	CDS	WT_Sp1_vegetative
I	2207718	SPAC1327.01c	CDS	WT_Sp1_EMM-N_medium_4h
I	2226703	SPAC18G6.05c	CDS	WT_Sp1_EMM-N_medium_4h
I	2226712	SPAC18G6.05c	CDS	WT_Sp1_vegetative
I	2229291	SPAC18G6.06	CDS	WT_Sp1_EMM-N_medium_4h
I	2235048	SPAC18G6.10	CDS	WT_Sp1_EMM-N_medium_4h
I	2258317	SPAC4G9.04c	CDS	WT_Sp1_vegetative
I	2258343	SPAC4G9.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	2267407	SPAC4G9.08c	CDS	WT_Sp1_vegetative
I	2285093	SPAC4G9.17c	CDS	WT_Sp1_EMM-N_medium_4h
I	2285095	SPAC4G9.17c	CDS	WT_Sp1_vegetative
I	2291814	SPAC4G9.22	5UTR	WT_Sp1_EMM-N_medium_4h
I	2314758	SPAC13G7.10	CDS	WT_Sp1_vegetative
I	2314774	SPAC13G7.10	CDS	WT_Sp1_EMM-N_medium_4h
I	2318836	SPAC13G7.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	2318852	SPAC13G7.13c	CDS	WT_Sp1_vegetative
I	2320188	SPAC13G7.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	2334778	SPAC6C3.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	2349219	SPAC17G8.04c	CDS	WT_Sp1_vegetative
I	2349228	SPAC17G8.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	2407321	SPAC1B9.03c	CDS	WT_Sp1_vegetative
I	2417906	SPNCRNA.824	5UTR	WT_Sp1_EMM-N_medium_4h
I	2436573	SPAC6B12.13	CDS	WT_Sp1_EMM-N_medium_4h
I	2474887	SPAC19A8.07c	CDS	WT_Sp1_EMM-N_medium_4h
I	2474955	SPAC19A8.07c	CDS	WT_Sp1_vegetative
I	2538667	SPAC25H1.09	CDS	WT_Sp1_EMM-N_medium_4h
I	2538671	SPAC25H1.09	CDS	WT_Sp1_vegetative
I	2539178	SPAC25H1.09	CDS	WT_Sp1_EMM-N_medium_4h
I	2539202	SPAC25H1.09	CDS	WT_Sp1_vegetative
I	2539854	SPAC25H1.09	CDS	WT_Sp1_EMM-N_medium_4h
I	2539861	SPAC25H1.09	CDS	WT_Sp1_vegetative
I	2545433	SPAC4A8.04	CDS	WT_Sp1_vegetative
I	2554856	SPAC4A8.06c	CDS	WT_Sp1_vegetative
I	2554934	SPAC4A8.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	2560348	SPNCRNA.838	5UTR	WT_Sp1_EMM-N_medium_4h
I	2622165	SPNCRNA.842	5UTR	WT_Sp1_vegetative
I	2622180	SPNCRNA.842	5UTR	WT_Sp1_EMM-N_medium_4h
I	2630815	SPAC7D4.04	CDS	WT_Sp1_EMM-N_medium_4h
I	2631798	SPAC7D4.04	CDS	WT_Sp1_EMM-N_medium_4h
I	2646228	SPAC4F8.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	2680030	SPAC644.06c	CDS	WT_Sp1_vegetative
I	2680034	SPAC644.06c	CDS	WT_Sp1_EMM-N_medium_4h
I	2706438	SPAPB2B4.01c	CDS	WT_Sp1_vegetative
I	2706556	SPAPB2B4.01c	INT	WT_Sp1_EMM-N_medium_4h
I	2708154	SPAPB2B4.02	CDS	WT_Sp1_vegetative
I	2708155	SPAPB2B4.02	CDS	WT_Sp1_EMM-N_medium_4h
I	2710310	SPAPB2B4.03	5UTR	WT_Sp1_EMM-N_medium_4h
I	2713325	SPAPB2B4.04c	CDS	WT_Sp1_EMM-N_medium_4h
I	2715360	SPAPB2B4.04c	CDS	WT_Sp1_vegetative
I	2731438	SPAC6F6.01	CDS	WT_Sp1_EMM-N_medium_4h
I	2757134	SPAC6F6.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	2757136	SPAC6F6.13c	CDS	WT_Sp1_vegetative
I	2782666	SPAC1805.05	CDS	WT_Sp1_EMM-N_medium_4h
I	2782668	SPAC1805.05	CDS	WT_Sp1_vegetative
I	2801491	SPAC1805.16c	CDS	WT_Sp1_vegetative
I	2804723	SPAC1805.17	CDS	WT_Sp1_EMM-N_medium_4h
I	2804746	SPAC1805.17	CDS	WT_Sp1_vegetative
I	2806984	SPAC1805.17	CDS	WT_Sp1_vegetative
I	2806986	SPAC1805.17	CDS	WT_Sp1_EMM-N_medium_4h
I	2814407	SPAC1B2.04	CDS	WT_Sp1_EMM-N_medium_4h
I	2825394	SPAC3F10.04	CDS	WT_Sp1_EMM-N_medium_4h
I	2825395	SPAC3F10.04	CDS	WT_Sp1_vegetative
I	2830512	SPAC3F10.19	5UTR	WT_Sp1_EMM-N_medium_4h
I	2830513	SPAC3F10.19	5UTR	WT_Sp1_vegetative
I	2846790	SPAC3F10.13	CDS	WT_Sp1_vegetative
I	2849060	SPAC3F10.15c	CDS	WT_Sp1_EMM-N_medium_4h
I	2871178	SPAC8F11.10c	CDS	WT_Sp1_vegetative
I	2871512	SPAC8F11.10c	5UTR	WT_Sp1_vegetative
I	2871525	SPAC8F11.10c	5UTR	WT_Sp1_EMM-N_medium_4h
I	2873886	SPNCRNA.857	5UTR	WT_Sp1_EMM-N_medium_4h
I	2873888	SPNCRNA.857	5UTR	WT_Sp1_vegetative
