Chromosome	m1A peak middle position	RefSeq ID	Segment	Cell
chr2	168206805	NM_009628	5UTR	Liver
chr2	172352752	NM_025912	CDS	Liver
chr2	173000294	NM_175112	5UTR	Liver
chr2	174330247	NM_001077510	5UTR	Liver
chr2	174345755	NM_022000	3UTR	Liver
chr2	174346034	NM_022000	3UTR	Liver
chr2	180659557	NM_175551	CDS	Liver
chr2	180731942	NM_183161	CDS	Liver
chr3	10015095	NM_010634	CDS	Liver
chr3	16183385	NM_001145919	5UTR	Liver
chr3	18055396	NM_021560	CDS	Liver
chr3	22212070	NM_030732	3UTR	Liver
chr3	30818808	NM_027016	CDS	Liver
chr3	32529590	NM_024200	5UTR	Liver
chr3	36000508	NR_029456	ncRNA	Liver
chr3	41082824	NM_027558	CDS	Liver
chr3	51340508	NM_023502	5UTR	Liver
chr3	51416216	NM_053089	5UTR	Liver
chr3	54807574	NM_133231	CDS	Liver
chr3	62339194	NM_001081295	5UTR	Liver
chr3	67582909	NM_025813	CDS	Liver
chr3	69126864	NM_008467	5UTR	Liver
chr3	75956506	NM_175193	5UTR	Liver
chr3	79591477	NM_026352	CDS	Liver
chr3	79622872	NM_025794	CDS	Liver
chr3	83012874	NM_133862	CDS	Liver
chr3	83026241	NM_001111048	CDS	Liver
chr3	83028615	NM_001111048	CDS	Liver
chr3	83031978	NM_010196	CDS	Liver
chr3	83042580	NM_181849	CDS	Liver
chr3	83043384	NM_181849	CDS	Liver
chr3	87367693	NM_009690	CDS	Liver
chr3	87525727	NM_001286844	5UTR	Liver
chr3	88055513	NM_025663	CDS	Liver
chr3	88436769	NM_001163491	CDS	Liver
chr3	88556787	NM_033526	CDS	Liver
chr3	88588059	NM_025448	3UTR	Liver
chr3	89164952	NM_001163432	5UTR	Liver
chr3	89345804	NM_009614	CDS	Liver
chr3	89393156	NM_009565	5UTR	Liver
chr3	89427318	NM_001113331	CDS	Liver
chr3	89430591	NM_001293768	5UTR	Liver
chr3	89447712	NM_146131	CDS	Liver
chr3	90231724	NM_206924	5UTR	Liver
chr3	90252475	NM_013901	3UTR	Liver
chr3	90254395	NM_028881	5UTR	Liver
chr3	90500059	NM_023215	CDS	Liver
chr3	94769379	NM_001037711	CDS	Liver
chr3	95894138	NM_146104	5UTR	Liver
chr3	96104740	NM_001025613	5UTR	Liver
chr3	96663461	NM_001302471	3UTR	Liver
chr3	98013701	NM_010928	CDS	Liver
chr3	98047786	NM_010928	CDS	Liver
chr3	98296207	NM_008256	CDS	Liver
chr3	101042582	NM_011197	3UTR	Liver
chr3	103791150	NM_010432	5UTR	Liver
chr3	104638757	NM_009196	5UTR	Liver
chr3	105750295	NM_145541	CDS	Liver
chr3	105959180	NM_001304719	5UTR	Liver
chr3	107696380	NM_145542	5UTR	Liver
chr3	108012569	NM_010358	3UTR	Liver
chr3	108186563	NM_001287093	5UTR	Liver
chr3	108904426	NM_025845	CDS	Liver
chr3	118562260	NM_170778	5UTR	Liver
chr3	121768690	NM_008991	CDS	Liver
chr3	122924489	NM_024461	CDS	Liver
chr3	127837297	NM_145964	5UTR	Liver
chr3	127896157	NM_027482	CDS	Liver
chr3	129874947	NM_007686	CDS	Liver
chr3	129905979	NM_009811	CDS	Liver
chr3	130730196	NM_026724	5UTR	Liver
chr3	131271949	NM_008212	CDS	Liver
chr3	135438830	NM_025356	5UTR	Liver
chr3	136670701	NM_008913	5UTR	Liver
chr3	138419262	NM_011996	CDS	Liver
chr3	142241976	NM_001190852	3UTR	Liver
chr3	142731250	NM_173763	CDS	Liver
chr3	144189133	NM_001161769	3UTR	Liver
chr3	144570083	NM_011828	5UTR	Liver
chr3	144570762	NM_053102	CDS	Liver
chr3	145758865	NM_026993	CDS	Liver
chr3	146404793	NM_001253768	5UTR	Liver
chr3	146610387	NM_009474	CDS	Liver
chr3	146631183	NM_009474	3UTR	Liver
chr3	146729895	NM_011100	3UTR	Liver
chr4	11527875	NM_001081183	CDS	Liver
chr4	15265960	NM_181401	CDS	Liver
chr4	21874262	NM_025669	CDS	Liver
chr4	33248238	NM_001033225	CDS	Liver
chr4	35218818	NM_001081343	CDS	Liver
chr4	40269713	NM_134097	5UTR	Liver
chr4	40733687	NM_001164672	3UTR	Liver
chr4	41349151	NM_001290454	5UTR	Liver
chr4	41720849	NM_016890	CDS	Liver
chr4	41739442	NM_001286551	3UTR	Liver
chr4	43492910	NR_001460	ncRNA	Liver
chr4	43562190	NM_011602	5UTR	Liver
chr4	45799155	NM_028270	5UTR	Liver
chr4	46468763	NM_130889	CDS	Liver
chr4	46469965	NM_130889	CDS	Liver
chr4	47312664	NM_009928	3UTR	Liver
chr4	48279475	NM_029572	5UTR	Liver
chr4	49544881	NM_144903	CDS	Liver
chr4	53159811	NM_013454	5UTR	Liver
chr4	55350147	NM_009011	5UTR	Liver
chr4	57951878	NM_011660	CDS	Liver
chr4	60070283	NM_001134675	CDS	Liver
chr4	61303872	NM_001199999	CDS	Liver
chr4	61674005	NM_001199333	CDS	Liver
chr4	62336486	NM_001045528	CDS	Liver
chr4	63144284	NM_007443	CDS	Liver
chr4	63145317	NM_007443	CDS	Liver
chr4	65124518	NM_021362	5UTR	Liver
chr4	70534819	NM_172694	CDS	Liver
chr4	83417806	NM_029949	CDS	Liver
chr4	98111614	NM_001122953	3UTR	Liver
chr4	103214877	NM_177732	5UTR	Liver
chr4	105109817	NM_178143	5UTR	Liver
chr4	105157488	NM_080555	5UTR	Liver
chr4	106561261	NM_053272	CDS	Liver
chr4	106578281	NM_053272	CDS	Liver
chr4	106911714	NM_023672	5UTR	Liver
chr4	107066757	NM_025500	CDS	Liver
chr4	111720121	NM_026470	5UTR	Liver
chr4	114987091	NM_025647	CDS	Liver
chr4	117002243	NM_175244	CDS	Liver
chr4	118134790	NM_009176	5UTR	Liver
chr4	118223846	NM_011213	CDS	Liver
chr4	118291252	NM_011213	5UTR	Liver
chr4	119232632	NM_001012400	CDS	Liver
chr4	119294397	NM_011732	5UTR	Liver
chr4	121097973	NM_172700	CDS	Liver
chr4	122859357	NM_007598	3UTR	Liver
chr4	123735904	NM_023423	3UTR	Liver
chr4	123917628	NM_017475	CDS	Liver
chr4	126096790	NM_138721	5UTR	Liver
chr4	126128987	NM_001145827	CDS	Liver
chr4	126256211	NM_001145970	5UTR	Liver
chr4	128993383	NM_016895	CDS	Liver
chr4	129007765	NM_016895	CDS	Liver
chr4	129008130	NM_016895	CDS	Liver
chr4	129011111	NM_016895	3UTR	Liver
chr4	129222941	NM_001285865	CDS	Liver
chr4	129534690	NM_008228	CDS	Liver
chr4	129601105	NM_029748	CDS	Liver
chr4	129820523	NM_008974	5UTR	Liver
chr4	130935295	NM_010686	3UTR	Liver
chr4	133061447	NM_146155	5UTR	Liver
chr4	133339202	NM_199306	5UTR	Liver
chr4	133528077	NM_001083916	CDS	Liver
chr4	134403038	NM_001285877	5UTR	Liver
chr4	134703165	NM_207237	CDS	Liver
chr4	134924027	NM_023665	CDS	Liver
chr4	136602554	NM_133872	CDS	Liver
chr4	137594298	NM_130879	5UTR	Liver
chr4	137758704	NM_007431	5UTR	Liver
chr4	137958101	NM_199307	CDS	Liver
chr4	138304959	NM_007838	CDS	Liver
chr4	138317445	NM_026880	CDS	Liver
chr4	139638480	NM_175438	CDS	Liver
chr4	141113815	NM_001025608	3UTR	Liver
chr4	141301344	NM_010139	5UTR	Liver
chr4	141634370	NM_001033150	CDS	Liver
chr4	141664011	NM_001033150	5UTR	Liver
chr4	141723239	NM_001017966	5UTR	Liver
chr4	145148652	NM_001276502	CDS	Liver
chr4	148612141	NM_001003893	CDS	Liver
chr4	148612738	NM_001305425	3UTR	Liver
chr4	149041776	NM_019781	CDS	Liver
chr4	149150460	NM_001081274	3UTR	Liver
chr4	150855164	NM_133753	5UTR	Liver
chr4	152015502	NM_001033352	CDS	Liver
chr4	154020067	NM_201226	3UTR	Liver
chr4	155491478	NM_008142	5UTR	Liver
chr4	155659510	NM_145124	CDS	Liver
chr4	155705416	NM_026899	CDS	Liver
chr4	155847667	NM_010091	5UTR	Liver
chr4	156236240	NM_021303	CDS	Liver
chr4	156240669	NM_021303	CDS	Liver
chr5	4757571	NM_021457	CDS	Liver
chr5	5694048	NM_001285471	5UTR	Liver
chr5	21055748	NM_011203	CDS	Liver
chr5	23433028	NR_040469	ncRNA	Liver
chr5	24445098	NM_023229	CDS	Liver
chr5	24842297	NM_053075	5UTR	Liver
chr5	30648065	NM_175675	CDS	Liver
chr5	30869729	NM_144525	CDS	Liver
chr5	30903179	NM_001294262	CDS	Liver
chr5	30955171	NM_016703	3UTR	Liver
chr5	30960128	NM_016703	5UTR	Liver
chr5	31048702	NM_212470	5UTR	Liver
chr5	31202108	NM_175311	5UTR	Liver
chr5	32459297	NM_172707	5UTR	Liver
chr5	32854166	NM_194340	5UTR	Liver
chr5	33019060	NM_011738	5UTR	Liver
chr5	33900478	NM_011914	CDS	Liver
chr5	34187606	NM_010753	5UTR	Liver
chr5	36748230	NM_133724	CDS	Liver
chr5	36796335	NM_026242	CDS	Liver
chr5	45450071	NM_024236	CDS	Liver
chr5	53116391	NM_172710	CDS	Liver
chr5	65537424	NM_016786	5UTR	Liver
chr5	86804500	NM_177680	5UTR	Liver
chr5	86901236	NM_153598	CDS	Liver
chr5	88676052	NM_178700	CDS	Liver
chr5	90460969	NM_009654	CDS	Liver
chr5	90462780	NM_009654	CDS	Liver
chr5	90464102	NM_009654	CDS	Liver
chr5	90464929	NM_009654	CDS	Liver
chr5	90465935	NM_009654	CDS	Liver
chr5	90467443	NM_009654	CDS	Liver
chr5	90469579	NM_009654	CDS	Liver
chr5	90470808	NM_009654	CDS	Liver
chr5	90472091	NM_009654	CDS	Liver
chr5	90472583	NM_009654	CDS	Liver
chr5	90474654	NM_009654	CDS	Liver
chr5	92138042	NM_019490	5UTR	Liver
chr5	92590869	NM_001170571	3UTR	Liver
chr5	93093520	NM_001009818	5UTR	Liver
chr5	93267706	NM_007635	5UTR	Liver
chr5	99976586	NM_007516	CDS	Liver
chr5	99978631	NM_007516	5UTR	Liver
chr5	100083667	NM_182841	CDS	Liver
chr5	105700853	NM_178701	5UTR	Liver
chr5	107130526	NM_011578	CDS	Liver
chr5	110779810	NM_019700	CDS	Liver
chr5	111330808	NM_001301644	5UTR	Liver
chr5	111734430	NR_045832	ncRNA	Liver
chr5	112328160	NM_018783	CDS	Liver
chr5	115103394	NM_001271591	CDS	Liver
chr5	115272417	NM_016698	5UTR	Liver
chr5	115272715	NM_016698	5UTR	Liver
chr5	115327294	NR_036616	ncRNA	Liver
chr5	115606629	NM_172719	CDS	Liver
chr5	116422405	NM_030704	CDS	Liver
chr5	116449549	NM_026886	CDS	Liver
chr5	117287484	NM_018858	CDS	Liver
chr5	117995389	NM_145564	CDS	Liver
chr5	118759231	NM_172424	CDS	Liver
chr5	121191284	NM_001109992	5UTR	Liver
chr5	121220315	NM_181421	5UTR	Liver
chr5	121572111	NM_009656	CDS	Liver
chr5	121580699	NM_009656	CDS	Liver
chr5	121593465	NM_009656	CDS	Liver
chr5	121711930	NM_009125	CDS	Liver
chr5	122158486	NM_013636	5UTR	Liver
chr5	122371941	NM_026883	CDS	Liver
chr5	122501725	NR_027838	ncRNA	Liver
chr5	122714481	NM_011026	CDS	Liver
chr5	122821191	NM_021505	5UTR	Liver
chr5	123179430	NM_008277	CDS	Liver
chr5	123228367	NM_026000	CDS	Liver
chr5	123572941	NM_029929	CDS	Liver
chr5	124032165	NM_177876	CDS	Liver
chr5	124540887	NM_019770	CDS	Liver
chr5	124629136	NM_011596	5UTR	Liver
chr5	125340901	NM_001205082	5UTR	Liver
chr5	125509844	NM_030210	CDS	Liver
chr5	129501357	NM_172276	5UTR	Liver
chr5	129942222	NM_027121	CDS	Liver
chr5	130000480	NM_010368	CDS	Liver
chr5	130019770	NM_133768	CDS	Liver
chr5	130255367	NM_023248	5UTR	Liver
chr5	134522984	NM_009990	CDS	Liver
chr5	134729311	NM_007925	CDS	Liver
chr5	135123725	NM_021455	CDS	Liver
chr5	135132563	NM_021455	CDS	Liver
chr5	135370040	NM_145414	CDS	Liver
chr5	135911049	NM_018871	CDS	Liver
chr5	136270103	NM_001291234	3UTR	Liver
chr5	137350256	NM_010144	5UTR	Liver
chr5	137520713	NM_031408	CDS	Liver
chr5	137596857	NM_030037	3UTR	Liver
chr5	137684595	NM_178162	5UTR	Liver
chr5	137746054	NM_029805	5UTR	Liver
chr5	137786462	NM_144913	5UTR	Liver
chr5	139018173	NM_008923	3UTR	Liver
chr5	139791611	NM_010757	5UTR	Liver
chr5	140419447	NM_133916	CDS	Liver
chr5	140419723	NM_133916	CDS	Liver
chr5	140648879	NM_175274	5UTR	Liver
chr5	142817378	NM_001122730	5UTR	Liver
chr5	142903859	NM_007393	CDS	Liver
chr5	142905405	NM_007393	CDS	Liver
chr5	143403924	NM_025841	5UTR	Liver
chr5	143527904	NM_009007	5UTR	Liver
chr5	143909717	NM_001172146	5UTR	Liver
chr5	148511952	NM_011908	CDS	Liver
chr5	148552644	NM_011908	5UTR	Liver
chr5	149052960	NM_010439	5UTR	Liver
chr5	149636098	NM_013559	5UTR	Liver
chr5	150953092	NM_013823	CDS	Liver
chr6	4903366	NM_181595	5UTR	Liver
chr6	5221245	NM_173006	3UTR	Liver
chr6	15720812	NM_175088	5UTR	Liver
chr6	23115098	NM_013930	CDS	Liver
chr6	24619577	NM_028459	CDS	Liver
chr6	28480515	NM_019776	5UTR	Liver
chr6	29164598	NM_133925	CDS	Liver
chr6	30304293	NM_001169576	5UTR	Liver
chr6	30402016	NM_029742	CDS	Liver
chr6	33060105	NM_025336	5UTR	Liver
chr6	34755786	NM_145575	CDS	Liver
chr6	34910754	NM_001013366	CDS	Liver
chr6	35252860	NR_027875	ncRNA	Liver
chr6	37441884	NM_178661	5UTR	Liver
chr6	37870951	NM_001272064	5UTR	Liver
chr6	38730023	NM_001136065	CDS	Liver
chr6	47454412	NM_012042	5UTR	Liver
chr6	47798509	NM_009787	CDS	Liver
chr6	47813354	NM_009787	5UTR	Liver
chr6	50110357	NM_019939	5UTR	Liver
chr6	51464192	NR_104468	ncRNA	Liver
chr6	51464497	NM_016806	CDS	Liver
chr6	51469762	NR_104468	ncRNA	Liver
chr6	52640228	NM_145567	CDS	Liver
chr6	54628884	NM_001001335	CDS	Liver
chr6	55336787	NM_007472	CDS	Liver
chr6	58916539	NM_028705	CDS	Liver
chr6	71201709	NM_017399	CDS	Liver
chr6	71440261	NM_024288	5UTR	Liver
chr6	71494535	NM_009543	5UTR	Liver
chr6	72390537	NM_016794	5UTR	Liver
chr6	78371256	NM_011036	CDS	Liver
chr6	78426341	NM_009042	CDS	Liver
chr6	83054947	NM_001301649	5UTR	Liver
chr6	83109169	NM_026744	CDS	Liver
chr6	83115614	NM_020619	CDS	Liver
chr6	83506812	NM_013764	CDS	Liver
chr6	84572093	NM_175475	3UTR	Liver
chr6	84574452	NM_175475	CDS	Liver
chr6	84584359	NM_175475	CDS	Liver
chr6	85475426	NM_001001160	CDS	Liver
chr6	86526070	NM_011865	5UTR	Liver
chr6	87312372	NM_054041	CDS	Liver
chr6	88045136	NM_009005	5UTR	Liver
chr6	90333377	NM_144940	CDS	Liver
chr6	90462668	NM_023184	5UTR	Liver
chr6	90466555	NM_023184	CDS	Liver
chr6	90559370	NM_027406	CDS	Liver
chr6	90636973	NM_001037493	CDS	Liver
chr6	91684260	NM_009320	5UTR	Liver
chr6	91752378	NM_009320	CDS	Liver
chr6	91989284	NM_172731	CDS	Liver
chr6	97807118	NM_001113198	5UTR	Liver
chr6	108783256	NM_026011	CDS	Liver
chr6	113237981	NM_026849	CDS	Liver
chr6	114678026	NM_001253717	CDS	Liver
chr6	116338208	NM_027920	5UTR	Liver
chr6	116628837	NM_001302439	5UTR	Liver
chr6	117168675	NM_001012477	CDS	Liver
chr6	119353416	NM_197985	3UTR	Liver
chr6	119354050	NM_197985	3UTR	Liver
chr6	120836309	NM_153516	5UTR	Liver
chr6	120886990	NM_153516	CDS	Liver
chr6	121246015	NM_011909	5UTR	Liver
chr6	121874532	NM_008645	CDS	Liver
chr6	121879011	NM_008645	CDS	Liver
chr6	122070915	NM_008646	CDS	Liver
chr6	122075252	NM_008646	CDS	Liver
chr6	122309091	NM_010749	5UTR	Liver
chr6	124663251	NM_145130	CDS	Liver
chr6	124712460	NM_007531	CDS	Liver
chr6	124743850	NM_007881	CDS	Liver
chr6	124811934	NM_009415	CDS	Liver
chr6	124858675	NM_013533	CDS	Liver
chr6	124914033	NM_026988	3UTR	Liver
chr6	124914448	NM_026988	CDS	Liver
chr6	124914682	NM_026988	CDS	Liver
chr6	124917788	NM_026988	5UTR	Liver
chr6	124931531	NM_001170341	5UTR	Liver
chr6	124935861	NM_001170341	3UTR	Liver
chr6	125009789	NM_175557	5UTR	Liver
chr6	125313745	NM_010736	5UTR	Liver
chr6	125361387	NM_011609	CDS	Liver
chr6	125460683	NM_007657	CDS	Liver
chr6	125494636	NM_007657	CDS	Liver
chr6	126844915	NM_025358	CDS	Liver
